,uid,hotkey,date,asset,block_open,block_high,block_low,block_close,value_open,value_high,value_low,value_close,swap_open,swap_high,swap_low,swap_close
0,2,5GLC4L,2026-02-24,0,7614300,7615800,7615500,7617532,1000.0,1020.9740303573187,998.3348857422595,1019.9005490419539,1000.0,1019.3524403413045,996.8042706064493,1018.2830785872947
1,2,5GLC4L,2026-02-25,0,7617533,7618800,7618200,7621200,1019.9693759959196,1067.3877861069175,1018.2082297540741,1062.4684224086686,1018.3517310544738,1065.4602619770808,1016.601013353637,1060.569768046607
